stimulus,left_image,right_image,condition,target_side,correct_response,background
Intro,ocean-left,ocean-right,Filler,L,0,black-background
find_ball_cool,ball,shoe,Telegraphic,L,0,black-background
doyouseethe_book_awesomejob,car,book,Grammatical,R,1,black-background
see_dog_greatjob,dog,keys,Telegraphic,L,0,black-background
canyoufindthe_cookie_doinggreat,baby,cookie,Grammatical,R,1,black-background
find_car_awesomejob,car,book,Telegraphic,L,0,black-background
doyouseethe_baby_greatjob,baby,cookie,Grammatical,L,0,black-background
doyouseethe_shoe_doinggreat,ball,shoe,Grammatical,R,1,black-background
canyoufindthe_keys_cool,keys,dog,Grammatical,L,0,black-background
find_cookie_cool,baby,cookie,Telegraphic,R,1,black-background
see_shoe_awesomejob,ball,shoe,Telegraphic,R,1,black-background
canyoufindthe_car_greatjob,car,book,Grammatical,L,0,black-background
find_keys_awesomejob,dog,keys,Telegraphic,R,1,black-background
see_baby_doinggreat,cookie,baby,Telegraphic,R,1,black-background
canyoufindthe_ball_greatjob,ball,shoe,Grammatical,L,0,black-background
see_book_doinggreat,book,car,Telegraphic,L,0,black-background
doyouseethe_dog_cool,keys,dog,Grammatical,R,1,black-background
see_ball_awesomejob,ball,shoe,Telegraphic,L,0,black-background
canyoufindthe_book_cool,car,book,Grammatical,R,1,black-background
find_dog_doinggreat,keys,dog,Telegraphic,R,1,black-background
doyouseethe_cookie_greatjob,baby,cookie,Grammatical,R,1,black-background
see_car_cool,car,book,Telegraphic,L,0,black-background
canyoufindthe_baby_awesomejob,cookie,baby,Grammatical,R,1,black-background
canyoufindthe_shoe_greatjob,shoe,ball,Grammatical,L,0,black-background
doyouseethe_keys_doinggreat,keys,dog,Grammatical,L,0,black-background
see_cookie_awesomejob,baby,cookie,Telegraphic,R,1,black-background
find_shoe_cool,shoe,ball,Telegraphic,L,0,black-background
doyouseethe_car_doinggreat,book,car,Grammatical,R,1,black-background
see_keys_greatjob,dog,keys,Telegraphic,R,1,black-background
find_baby_cool,cookie,baby,Telegraphic,R,1,black-background
doyouseethe_ball_doinggreat,ball,shoe,Grammatical,L,0,black-background
find_book_greatjob,book,car,Telegraphic,L,0,black-background
canyoufindthe_dog_awesomejob,dog,keys,Grammatical,L,0,black-background
End,fireworks-left,fireworks-right,Filler,L,0,black-background
